"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS4Y1.8",2.73747898432808e-06,-1.14686843130158,0.168,0.395,0.0630030788243107,"14","RPS4Y1"
"RIPOR2.11",2.89344263793905e-06,-1.37618579785604,0.168,0.378,0.0665925823121672,"14","RIPOR2"
"RNF149.14",3.02504783283651e-06,-1.50815956315757,0.089,0.301,0.0696214758727322,"14","RNF149"
"TPM3.10",3.30519410877586e-06,-1.07634141256602,0.188,0.415,0.0760690424134765,"14","TPM3"
"PPP2R5C.13",3.62539973056594e-06,-1.41311405414848,0.129,0.335,0.0834385747989752,"14","PPP2R5C"
"RPL34.10",4.3421999694586e-06,-0.638662182825342,0.822,0.863,0.0999357322970898,"14","RPL34"
"RPL36AL.8",4.3777373382929e-06,0.960653670102145,0.525,0.373,0.100753624840811,"14","RPL36AL"
"HNRNPH1.7",4.48844780991447e-06,-1.0126006249458,0.257,0.485,0.103301626345182,"14","HNRNPH1"
"RPL13.12",4.82050378117079e-06,-0.639780336691903,0.861,0.864,0.110943894523646,"14","RPL13"
"CALM1.11",4.90773845696211e-06,-1.04975419364141,0.238,0.453,0.112951600586983,"14","CALM1"
"ARPC4.6",4.96232132166272e-06,-1.28785146159124,0.059,0.26,0.114207825218068,"14","ARPC4"
"TOMM7.6",5.82403716335976e-06,-1.00399294200801,0.188,0.418,0.134040215314725,"14","TOMM7"
"PCBP1.10",6.15326260039769e-06,-1.15513333644855,0.218,0.426,0.141617338748153,"14","PCBP1"
"RPS14.11",6.58472684705865e-06,-0.674433251970986,0.693,0.808,0.151547488385055,"14","RPS14"
"CANX.2",6.63370542574996e-06,0.82960201020406,0.327,0.17,0.152674730373635,"14","CANX"
"SSR2.4",7.0838332693213e-06,0.816518558031378,0.416,0.24,0.16303442269343,"14","SSR2"
"HNRNPK.5",7.3647659754315e-06,-0.999844430817152,0.188,0.4,0.169500088924556,"14","HNRNPK"
"VSIR.9",7.46357689063769e-06,-1.33393032995319,0.089,0.285,0.171774222138026,"14","VSIR"
"PPP1CB.5",9.39843635287493e-06,-1.13835608188343,0.069,0.266,0.216305012661417,"14","PPP1CB"
"HLA-DRB1.14",9.64531691967728e-06,-1.48743666936792,0.238,0.419,0.221986968906373,"14","HLA-DRB1"
"EIF4A2.7",1.06405565478237e-05,-0.999761261007111,0.079,0.279,0.244892408948162,"14","EIF4A2"
"SELL.9",1.06822020768281e-05,-1.36209308232631,0.079,0.279,0.245850880798199,"14","SELL"
"CDC42SE2.7",1.20778735098459e-05,-1.33028125505773,0.099,0.287,0.277972258829103,"14","CDC42SE2"
"PTP4A2.8",1.23681618153886e-05,-1.14573773485954,0.188,0.385,0.284653244181169,"14","PTP4A2"
"IQGAP1.9",1.27058223292743e-05,-1.24332961686687,0.139,0.335,0.292424500908248,"14","IQGAP1"
"SRSF5.4",1.3252464258869e-05,-0.861176380713836,0.178,0.387,0.30500546491787,"14","SRSF5"
"FXYD5.4",1.35277712276562e-05,-0.971689406225104,0.129,0.339,0.311341654804508,"14","FXYD5"
"YPEL3.12",1.38551658746533e-05,-1.36376290991091,0.099,0.291,0.318876642605146,"14","YPEL3"
"NPC2.12",1.59971738678532e-05,-1.26210131285992,0.069,0.257,0.368174956568641,"14","NPC2"
"FAU.7",1.63644373000534e-05,-0.490032649166358,0.663,0.843,0.37662752446073,"14","FAU"
"TRAM1",1.64555611184437e-05,0.712393541511761,0.317,0.159,0.378724739140982,"14","TRAM1"
"TSPO.13",1.9520867093741e-05,-1.30445199586551,0.139,0.317,0.449272756162448,"14","TSPO"
"ATP6V0E1.3",1.97645562540907e-05,-0.916349143148241,0.129,0.341,0.454881262187898,"14","ATP6V0E1"
"EEF1A1.10",2.09271770851661e-05,-0.498393774726589,0.861,0.894,0.481638980615098,"14","EEF1A1"
"LAMTOR4.8",2.10269603186971e-05,-1.17718655294517,0.099,0.293,0.483935491734814,"14","LAMTOR4"
